Site,Latitude,Longitude,Year,Month,Season,Percent_C1,Percent_C2,Percent_C3,Percent_C4,Percent_C5,Percent_C6
SRS-2,25.54972811,-80.78520692,2020,10,Wet,0.242040672,0.171876836,0.129473817,0.169699292,0.091930661,0.194978722
SRS-2,25.54972811,-80.78520692,2020,11,Wet,0.242616512,0.175581811,0.130718815,0.174654399,0.092740252,0.183688211
SRS-2,25.54972811,-80.78520692,2020,12,Dry,0.242155452,0.17864241,0.133577693,0.166788036,0.092468767,0.186367642
SRS-2,25.54972811,-80.78520692,2021,1,Dry,0.23845572,0.178481608,0.130756314,0.179505012,0.091321968,0.181479378
SRS-2,25.54972811,-80.78520692,2021,2,Dry,0.231015693,0.17793491,0.127775573,0.193558062,0.091282834,0.178432928
SRS-2,25.54972811,-80.78520692,2021,3,Dry,0.239620009,0.179217358,0.129703542,0.175987284,0.093721665,0.181750142
SRS-2,25.54972811,-80.78520692,2021,5,Dry,0.243742724,0.178361403,0.132815413,0.172298898,0.093855548,0.178926014
SRS-2,25.54972811,-80.78520692,2021,8,Wet,0.24811216,0.178122637,0.130228147,0.157520726,0.0969748,0.18904153
SRS-2,25.54972811,-80.78520692,2021,11,Wet,0.237933597,0.18048375,0.135600273,0.174289135,0.098708612,0.172984632
SRS-2,25.54972811,-80.78520692,2021,12,Dry,0.239998246,0.180123084,0.132545696,0.180100233,0.095222082,0.17201066
SRS-2,25.54972811,-80.78520692,2022,1,Dry,0.236050492,0.178146332,0.134447235,0.177500409,0.09884195,0.175013582
SRS-2,25.54972811,-80.78520692,2022,2,Dry,0.244933869,0.177940445,0.130424299,0.1766328,0.092319046,0.177749541
SRS-2,25.54972811,-80.78520692,2022,3,Dry,0.238869338,0.178263214,0.132632831,0.175218808,0.097633486,0.177382323
SRS-2,25.54972811,-80.78520692,2022,4,Dry,0.241383172,0.179205243,0.13125998,0.165252831,0.09798915,0.184909624
SRS-2,25.54972811,-80.78520692,2022,5,Dry,0.243097241,0.177963464,0.131957553,0.164046074,0.098491795,0.184443873
SRS-2,25.54972811,-80.78520692,2022,6,Wet,0.249007238,0.177685581,0.131104744,0.174328184,0.098560016,0.169314236
SRS-2,25.54972811,-80.78520692,2022,7,Wet,0.236961214,0.180291391,0.13237264,0.171404725,0.099365235,0.179604795
SRS-2,25.54972811,-80.78520692,2022,8,Wet,0.237142524,0.18664257,0.143473342,0.146192384,0.11635403,0.17019515
SRS-2,25.54972811,-80.78520692,2022,10,Wet,0.240870992,0.179401174,0.128983509,0.172468146,0.098552691,0.179723489
SRS-2,25.54972811,-80.78520692,2022,11,Wet,0.246560655,0.176883499,0.130880005,0.183019076,0.094599339,0.168057426
SRS-2,25.54972811,-80.78520692,2022,12,Dry,0.245314586,0.174957848,0.131438566,0.175497942,0.092267167,0.180523891
SRS-3,25.46820617,-80.85327617,2019,1,Dry,0.24012032,0.173979543,0.131229808,0.179791246,0.093929593,0.180949491
SRS-3,25.46820617,-80.85327617,2019,2,Dry,0.241639998,0.173352941,0.13243417,0.178888805,0.093994021,0.179690065
SRS-3,25.46820617,-80.85327617,2019,3,Dry,0.235583329,0.169263973,0.128864237,0.177725827,0.091920196,0.196642438
SRS-3,25.46820617,-80.85327617,2019,4,Dry,0.23617939,0.175894751,0.134301697,0.177675224,0.094907777,0.18104116
SRS-3,25.46820617,-80.85327617,2019,5,Dry,0.23946028,0.173216643,0.130987043,0.182184779,0.094130816,0.18002044
SRS-3,25.46820617,-80.85327617,2019,6,Wet,0.234299201,0.171030424,0.124951188,0.155934322,0.089959113,0.223825754
SRS-3,25.46820617,-80.85327617,2019,7,Wet,0.243773722,0.181799426,0.137474006,0.141144378,0.09918968,0.196618786
SRS-3,25.46820617,-80.85327617,2019,9,Wet,0.246149462,0.176771893,0.129170491,0.168940389,0.096569228,0.182398537
SRS-3,25.46820617,-80.85327617,2019,10,Wet,0.23488561,0.164563398,0.124076503,0.172507027,0.087028973,0.216938488
SRS-3,25.46820617,-80.85327617,2020,2,Dry,0.241387487,0.173159236,0.131110082,0.180246572,0.094750546,0.179346077
SRS-3,25.46820617,-80.85327617,2020,3,Dry,0.241908738,0.17253497,0.129866973,0.178853604,0.093619308,0.183216407
SRS-3,25.46820617,-80.85327617,2020,5,Dry,0.240257955,0.177693209,0.129496675,0.162288195,0.103242773,0.187021193
SRS-3,25.46820617,-80.85327617,2020,6,Wet,0.241707372,0.172452909,0.130194311,0.171578694,0.099203184,0.18486353
SRS-3,25.46820617,-80.85327617,2020,7,Wet,0.240029095,0.174952333,0.133134964,0.15870529,0.095947051,0.197231267
SRS-3,25.46820617,-80.85327617,2020,8,Wet,0.240779619,0.174861835,0.13284664,0.176287902,0.09377206,0.181451945
SRS-3,25.46820617,-80.85327617,2020,10,Wet,0.239834157,0.16797255,0.129743208,0.181470026,0.088814514,0.192165545
SRS-3,25.46820617,-80.85327617,2020,11,Wet,0.239879234,0.170453987,0.12849833,0.174847323,0.086825179,0.199495947
SRS-3,25.46820617,-80.85327617,2020,12,Dry,0.242731566,0.175245716,0.132054145,0.172981274,0.088727748,0.188259552
SRS-3,25.46820617,-80.85327617,2021,1,Dry,0.242578925,0.176755029,0.129231744,0.186027224,0.088978409,0.176428669
SRS-3,25.46820617,-80.85327617,2021,2,Dry,0.239061833,0.176080568,0.12935341,0.189170672,0.090680257,0.175653261
SRS-3,25.46820617,-80.85327617,2021,3,Dry,0.237627659,0.176878859,0.1314066,0.175767526,0.091733067,0.186586289
SRS-3,25.46820617,-80.85327617,2021,4,Dry,0.242743939,0.17193748,0.132329003,0.180525995,0.091241984,0.181221598
SRS-3,25.46820617,-80.85327617,2021,5,Dry,0.239261376,0.174703715,0.132428284,0.174949868,0.092407394,0.186249363
SRS-3,25.46820617,-80.85327617,2021,6,Wet,0.242447149,0.172895438,0.130457526,0.180261657,0.09101178,0.18292645
SRS-3,25.46820617,-80.85327617,2021,8,Wet,0.230846717,0.169009376,0.127306665,0.173315018,0.089352607,0.210169617
SRS-3,25.46820617,-80.85327617,2021,11,Wet,0.247134648,0.168241748,0.128130001,0.174337407,0.088577679,0.193578517
SRS-3,25.46820617,-80.85327617,2021,12,Dry,0.234063081,0.169392195,0.127570043,0.164316629,0.090318369,0.214339683
SRS-3,25.46820617,-80.85327617,2022,1,Dry,0.234679463,0.175376644,0.13441899,0.180491618,0.095860978,0.179172307
SRS-3,25.46820617,-80.85327617,2022,2,Dry,0.245837874,0.172910505,0.130300167,0.191381356,0.089018847,0.17055125
SRS-3,25.46820617,-80.85327617,2022,3,Dry,0.237288143,0.174970957,0.133616502,0.181312848,0.093447282,0.179364269
SRS-3,25.46820617,-80.85327617,2022,4,Dry,0.246348835,0.174219581,0.133338314,0.178732723,0.094773871,0.172586676
SRS-3,25.46820617,-80.85327617,2022,5,Dry,0.237420398,0.177068228,0.132664,0.17125265,0.095921873,0.18567285
SRS-3,25.46820617,-80.85327617,2022,6,Wet,0.247337984,0.177771836,0.132364548,0.174548142,0.099562711,0.168414779
SRS-3,25.46820617,-80.85327617,2022,7,Wet,0.236004942,0.174115407,0.128868206,0.18487294,0.095476045,0.18066246
SRS-3,25.46820617,-80.85327617,2022,9,Wet,0.236350045,0.176171857,0.130219301,0.177219066,0.096213924,0.183825807
SRS-3,25.46820617,-80.85327617,2022,10,Wet,0.243609034,0.175130422,0.130782561,0.176742869,0.094215196,0.179519919
SRS-3,25.46820617,-80.85327617,2022,11,Wet,0.242984187,0.179091165,0.132335963,0.179352226,0.095217093,0.171019366
SRS-3,25.46820617,-80.85327617,2022,12,Dry,0.241291701,0.175899092,0.131795103,0.17104126,0.09533786,0.184634984
SRS-4,25.40976421,-80.96431016,2019,1,Dry,0.237053127,0.16322624,0.121803688,0.180050294,0.089318066,0.208548585
SRS-4,25.40976421,-80.96431016,2019,2,Dry,0.2432189,0.181361156,0.126379528,0.170615828,0.098225973,0.180198614
SRS-4,25.40976421,-80.96431016,2019,3,Dry,0.243400385,0.180736447,0.125985544,0.170130652,0.096796594,0.182950378
SRS-4,25.40976421,-80.96431016,2019,4,Dry,0.239744371,0.189840294,0.129046137,0.155258685,0.101859218,0.184251296
SRS-4,25.40976421,-80.96431016,2019,5,Dry,0.234090114,0.186659362,0.124722051,0.167363365,0.098732567,0.188432543
SRS-4,25.40976421,-80.96431016,2019,6,Wet,0.237835518,0.185439974,0.124265318,0.166080501,0.099050432,0.187328258
SRS-4,25.40976421,-80.96431016,2019,7,Wet,0.24869739,0.190456247,0.135955408,0.125095825,0.105995899,0.19379923
SRS-4,25.40976421,-80.96431016,2019,9,Wet,0.24419669,0.176671546,0.124774398,0.166035015,0.097586241,0.190736108
SRS-4,25.40976421,-80.96431016,2020,2,Dry,0.247868154,0.179002177,0.128360561,0.162952037,0.098802137,0.183014934
SRS-4,25.40976421,-80.96431016,2020,3,Dry,0.242204885,0.180912466,0.126760956,0.169108234,0.09844654,0.182566918
SRS-4,25.40976421,-80.96431016,2020,5,Dry,0.245680297,0.185206258,0.12837836,0.152775927,0.100355564,0.187603594
SRS-4,25.40976421,-80.96431016,2020,6,Wet,0.244211853,0.184920268,0.124157341,0.154913614,0.103323248,0.188473675
SRS-4,25.40976421,-80.96431016,2020,7,Wet,0.240075231,0.185727639,0.131106954,0.147258982,0.100668114,0.195163079
SRS-4,25.40976421,-80.96431016,2020,8,Wet,0.247749951,0.17866613,0.130511058,0.157248034,0.098581588,0.187243239
SRS-4,25.40976421,-80.96431016,2020,9,Wet,0.243071604,0.181416446,0.129382128,0.145804861,0.102213028,0.198111933
SRS-4,25.40976421,-80.96431016,2020,10,Wet,0.247568703,0.173721478,0.129229749,0.1653726,0.09677358,0.187333889
SRS-4,25.40976421,-80.96431016,2020,11,Wet,0.249062961,0.17569958,0.131094174,0.169894325,0.092761984,0.181486976
SRS-4,25.40976421,-80.96431016,2020,12,Dry,0.239194753,0.17517834,0.130743516,0.176714626,0.090756109,0.187412656
SRS-4,25.40976421,-80.96431016,2021,1,Dry,0.240008341,0.177358758,0.128030949,0.186793495,0.09036296,0.177445497
SRS-4,25.40976421,-80.96431016,2021,2,Dry,0.243799212,0.178045371,0.129046568,0.174278843,0.092928014,0.181901992
SRS-4,25.40976421,-80.96431016,2021,3,Dry,0.243376288,0.180944279,0.129318876,0.165439565,0.096920664,0.184000328
